ID,NIK,NISN,Name,Gender,BirthDate,BirthRegency,Religion,PhoneNumber,Email,Photo,Address,Nationality,Province,Regency,Subdistrict,PostalCode,School,SchoolMajor,GraduationYear,Admission,Major1,Major2,Score,PassedMajorID,Timestamp
SBMPTN20210020,3311120411870003,212350206,Keen Harwell,Perempuan,2004-03-23 00:00:00,KAB. BULELENG,Hindu,802-226-1453,kharwell8v@auda.org.au,https://google.com,Jalan Nasional Nomor 1,Indonesia,SUMATERA BARAT,KAB. PESISIR SELATAN,RANAH PESISIR,12345,SMAN 268,IPA,2022,SBMPTN,29,9,505,29,2021-07-10 00:00:00
SBMPTN20210021,3311120411870003,212350207,Bale Roxby,Perempuan,2002-06-29 00:00:00,KAB. HALMAHERA TIMUR,Buddha,810-430-2816,broxby8w@bluehost.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,PAPUA,KAB. BIAK NUMFOR,NUMFOR BARAT,12345,SMAN 92,IPA,2021,SBMPTN,19,14,684,19,2021-07-10 00:00:00
SBMPTN20210022,3311120411870003,212350208,Timofei McQuarrie,Perempuan,2003-01-16 00:00:00,KAB. PASAMAN,Hindu,344-174-2600,tmcquarrie8x@harvard.edu,https://google.com,Jalan Nasional Nomor 1,Indonesia,MALUKU UTARA,KOTA TERNATE,PULAU BATANG DUA,12345,SMAN 321,IPA,2022,SBMPTN,28,2,499,28,2021-07-10 00:00:00
SBMPTN20210023,3311120411870003,212350209,Lilyan Spatoni,Perempuan,2005-07-09 00:00:00,KAB. ACEH TENGAH,Konghucu,216-269-2660,lspatoni8y@google.co.uk,https://google.com,Jalan Nasional Nomor 1,Indonesia,SULAWESI TENGAH,KOTA PALU,TATANGA,12345,SMAN 357,IPA,2022,SBMPTN,31,9,492,31,2021-07-10 00:00:00
SBMPTN20210024,3311120411870003,212350210,Emmy Durrand,Perempuan,2002-03-14 00:00:00,KAB. BENGKULU UTARA,Buddha,612-319-7231,edurrand8z@wikimedia.org,https://google.com,Jalan Nasional Nomor 1,Indonesia,KALIMANTAN SELATAN,KAB. TANAH BUMBU,KUSAN HILIR,12345,SMAN 514,IPA,2021,SBMPTN,26,30,707,26,2021-07-10 00:00:00
SBMPTN20210025,3311120411870003,212350211,Christoph Forre,Laki-Laki,2005-04-27 00:00:00,KAB. BENGKAYANG,Hindu,962-519-4910,cforre90@indiegogo.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,GORONTALO,KAB. BONE BOLANGO,BONE RAYA,12345,SMAN 74,IPS,2021,SBMPTN,20,23,529,20,2021-07-10 00:00:00
SBMPTN20210026,3311120411870003,212350212,Edna Schoffel,Perempuan,2005-03-16 00:00:00,KAB. CIANJUR,Buddha,796-270-3761,eschoffel91@github.io,https://google.com,Jalan Nasional Nomor 1,Indonesia,NUSA TENGGARA TIMUR,KAB. ENDE,LIO TIMUR,12345,SMAN 179,IPA,2022,SBMPTN,7,18,469,7,2021-07-10 00:00:00
SBMPTN20210027,3311120411870003,212350213,Clarine Sainsbury-Brown,Laki-Laki,2002-09-09 00:00:00,KAB. ACEH TENGAH,Katolik,694-617-4969,csainsburybrown92@msn.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,KALIMANTAN SELATAN,KAB. HULU SUNGAI TENGAH,HARUYAN,12345,SMAN 39,IPA,2020,SBMPTN,20,15,631,20,2021-07-10 00:00:00
SBMPTN20210028,3311120411870003,212350214,Shea Tailour,Perempuan,2003-10-14 00:00:00,KAB. ROTE NDAO,Konghucu,594-685-1761,stailour93@pbs.org,https://google.com,Jalan Nasional Nomor 1,Indonesia,RIAU,KAB. ROKAN HILIR,TANAH PUTIH,12345,SMAN 135,IPA,2022,SBMPTN,5,1,730,5,2021-07-10 00:00:00
SBMPTN20210029,3311120411870003,212350215,Taffy Rambadt,Perempuan,2002-04-09 00:00:00,KAB. LOMBOK TENGAH,Katolik,862-590-0828,trambadt94@plala.or.jp,https://google.com,Jalan Nasional Nomor 1,Indonesia,PAPUA,KAB. LANNY JAYA,NOGI,12345,SMAN 360,IPS,2021,SBMPTN,12,7,663,12,2021-07-10 00:00:00
SBMPTN20210030,3311120411870003,212350216,Sophie McKomb,Laki-Laki,2003-07-22 00:00:00,KAB. LAMPUNG UTARA,Konghucu,465-203-6054,smckomb95@homestead.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA BARAT,KAB. CIANJUR,SINDANGBARANG,12345,SMAN 240,IPA,2020,SBMPTN,5,17,781,5,2021-07-10 00:00:00
SBMPTN20210031,3311120411870003,212350217,Tova O'Beirne,Perempuan,2002-10-04 00:00:00,KAB. KATINGAN,Islam,775-740-3379,tobeirne96@mtv.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,PAPUA BARAT,KAB. MANOKWARI,MANOKWARI TIMUR,12345,SMAN 322,IPA,2022,SBMPTN,13,19,499,13,2021-07-10 00:00:00
SBMPTN20210032,3311120411870003,212350218,Katha Reichert,Perempuan,2005-10-21 00:00:00,KAB. PADANG PARIAMAN,Konghucu,311-818-9840,kreichert97@booking.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,BENGKULU,KAB. BENGKULU SELATAN,PINO,12345,SMAN 477,IPA,2022,SBMPTN,2,13,497,2,2021-07-10 00:00:00
SBMPTN20210033,3311120411870003,212350219,Bettina Hainning,Perempuan,2005-04-13 00:00:00,KAB. SLEMAN,Islam,523-285-9446,bhainning98@virginia.edu,https://google.com,Jalan Nasional Nomor 1,Indonesia,ACEH,KAB. PIDIE JAYA,BANDAR BARU,12345,SMAN 389,IPS,2021,SBMPTN,15,26,537,15,2021-07-10 00:00:00
SBMPTN20210034,3311120411870003,212350220,Kane Orrin,Perempuan,2005-02-21 00:00:00,KAB TIMOR TENGAH SELATAN,Hindu,745-438-7412,korrin99@disqus.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,PAPUA,KAB. NDUGA,MAPENDUMA,12345,SMAN 215,IPS,2022,SBMPTN,6,13,545,6,2021-07-10 00:00:00
SBMPTN20210035,3311120411870003,212350221,Johnnie Jaukovic,Perempuan,2002-05-16 00:00:00,KAB. PONOROGO,Konghucu,806-150-7650,jjaukovic9a@stanford.edu,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA BARAT,KAB. TASIKMALAYA,KARANGNUNGGAL,12345,SMAN 462,IPA,2021,SBMPTN,24,30,729,24,2021-07-10 00:00:00
SBMPTN20210036,3311120411870003,212350222,Dmitri Zannini,Perempuan,2002-12-15 00:00:00,KAB. SERANG,Hindu,551-603-3695,dzannini9b@alibaba.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,KALIMANTAN BARAT,KAB. KAPUAS HULU,BIKA,12345,SMAN 451,IPA,2021,SBMPTN,21,23,527,21,2021-07-10 00:00:00
SBMPTN20210037,3311120411870003,212350223,Willey Bakesef,Perempuan,2003-01-02 00:00:00,KAB. KOLAKA,Hindu,898-983-1502,wbakesef9c@bandcamp.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,SULAWESI TENGAH,KAB. BANGGAI,BALANTAK UTARA,12345,SMAN 372,IPA,2022,SBMPTN,26,13,584,26,2021-07-10 00:00:00
SBMPTN20210038,3311120411870003,212350224,Germayne Phear,Perempuan,2003-12-01 00:00:00,KAB. OGAN KOMERING ULU,Katolik,734-752-4823,gphear9d@shareasale.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,NUSA TENGGARA TIMUR,KAB. KUPANG,TAKARI,12345,SMAN 188,IPA,2022,SBMPTN,8,25,687,8,2021-07-10 00:00:00
SBMPTN20210039,3311120411870003,212350225,Daniele Alenichev,Laki-Laki,2003-01-06 00:00:00,KAB. TOJO UNA UNA,Islam,887-223-3280,dalenichev9e@ezinearticles.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA TENGAH,KAB. PURBALINGGA,KALIGONDANG,12345,SMAN 53,IPS,2020,SBMPTN,18,12,683,18,2021-07-10 00:00:00
SBMPTN20210040,3311120411870003,212350226,Jennifer Corroyer,Laki-Laki,2005-05-01 00:00:00,KAB. CILACAP,Islam,687-655-7812,jcorroyer9f@bandcamp.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,NUSA TENGGARA TIMUR,KAB. SUMBA BARAT,LABOYA BARAT,12345,SMAN 477,IPA,2021,SBMPTN,15,7,519,15,2021-07-10 00:00:00
SBMPTN20210041,3311120411870003,212350227,Gregoor Boyett,Perempuan,2003-07-11 00:00:00,KAB. SUMBA BARAT,Islam,247-972-5001,gboyett9g@hostgator.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA BARAT,KAB. BEKASI,KARANG BAHAGIA,12345,SMAN 359,IPA,2022,SBMPTN,13,15,501,13,2021-07-10 00:00:00
SBMPTN20210042,3311120411870003,212350228,Lyndsie Caddens,Perempuan,2004-09-09 00:00:00,KAB TIMOR TENGAH SELATAN,Hindu,266-841-9939,lcaddens9h@bluehost.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,SULAWESI TENGAH,KAB. PARIGI MOUTONG,TOMINI,12345,SMAN 486,IPS,2020,SBMPTN,23,16,577,23,2021-07-10 00:00:00
SBMPTN20210043,3311120411870003,212350229,Vivi Prettyjohn,Perempuan,2004-08-10 00:00:00,KAB. JOMBANG,Kristen,287-105-2982,vprettyjohn9i@statcounter.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA BARAT,KAB. CIREBON,WERU,12345,SMAN 260,IPA,2022,SBMPTN,27,3,607,,2021-07-10 00:00:00
SBMPTN20210044,3311120411870003,212350230,Mile Simpson,Laki-Laki,2003-11-21 00:00:00,KAB. MIMIKA,Hindu,288-580-3596,msimpson9j@domainmarket.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,SULAWESI TENGGARA,KAB. MUNA,KONTU KOWUNA,12345,SMAN 6,IPA,2022,SBMPTN,31,26,532,31,2021-07-10 00:00:00
SBMPTN20210045,3311120411870003,212350231,Ewan Beldum,Laki-Laki,2005-07-22 00:00:00,KAB. SIJUNJUNG,Katolik,800-250-4622,ebeldum9k@fema.gov,https://google.com,Jalan Nasional Nomor 1,Indonesia,NUSA TENGGARA BARAT,KAB. SUMBAWA,LENANGGUAR,12345,SMAN 335,IPA,2022,SBMPTN,21,2,739,21,2021-07-10 00:00:00
SBMPTN20210046,3311120411870003,212350232,Moselle Folley,Laki-Laki,2002-10-10 00:00:00,KAB. KEPULAUAN MENTAWAI,Islam,846-286-4974,mfolley9l@youtube.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,SULAWESI SELATAN,KOTA PALOPO,WARA TIMUR,12345,SMAN 192,IPA,2020,SBMPTN,31,18,788,31,2021-07-10 00:00:00
SBMPTN20210047,3311120411870003,212350233,Hirsch Androli,Laki-Laki,2003-06-14 00:00:00,KAB. RAJA AMPAT,Hindu,670-881-9005,handroli9m@technorati.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,KALIMANTAN BARAT,KAB. SAMBAS,PEMANGKAT,12345,SMAN 115,IPA,2020,SBMPTN,15,26,800,15,2021-07-10 00:00:00
SBMPTN20210048,3311120411870003,212350234,Cori Vasse,Laki-Laki,2005-09-04 00:00:00,KAB. BANGKA BARAT,Konghucu,789-983-9175,cvasse9n@soundcloud.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,PAPUA BARAT,KOTA SORONG,SORONG BARAT,12345,SMAN 42,IPA,2020,SBMPTN,11,19,693,11,2021-07-10 00:00:00
SBMPTN20210049,3311120411870003,212350235,Josselyn Fagg,Perempuan,2003-09-22 00:00:00,KAB. ACEH UTARA,Hindu,779-255-9163,jfagg9o@skype.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,SULAWESI TENGGARA,KAB. MUNA BARAT,TIWORO UTARA,12345,SMAN 346,IPS,2021,SBMPTN,17,31,684,17,2021-07-10 00:00:00
SBMPTN20210050,3311120411870003,212350236,Jeana Boarder,Laki-Laki,2003-10-05 00:00:00,KOTA PARIAMAN,Kristen,364-300-5612,jboarder9p@vk.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,SULAWESI SELATAN,KAB. MAROS,LAU,12345,SMAN 141,IPA,2020,SBMPTN,18,23,614,18,2021-07-10 00:00:00
SBMPTN20210051,3311120411870003,212350237,Antonino Geist,Perempuan,2003-09-19 00:00:00,KAB. DOGIYAI,Hindu,569-467-4596,ageist9q@wisc.edu,https://google.com,Jalan Nasional Nomor 1,Indonesia,SUMATERA BARAT,KOTA PADANG,KOTO TANGAH,12345,SMAN 208,IPA,2021,SBMPTN,4,19,523,4,2021-07-10 00:00:00
SBMPTN20210052,3311120411870003,212350238,Feliks Bellino,Perempuan,2003-01-09 00:00:00,KAB. SUMBA BARAT,Konghucu,878-637-6056,fbellino9r@google.ru,https://google.com,Jalan Nasional Nomor 1,Indonesia,ACEH,KAB. PIDIE,SAKTI,12345,SMAN 106,IPA,2020,SBMPTN,30,32,775,30,2021-07-10 00:00:00
SBMPTN20210053,3311120411870003,212350239,Clemmy Kingsford,Perempuan,2002-09-06 00:00:00,KAB. KARO,Buddha,552-870-7279,ckingsford9s@scribd.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,ACEH,KAB. ACEH JAYA,SAMPOINIET,12345,SMAN 98,IPA,2021,SBMPTN,12,8,531,12,2021-07-10 00:00:00
SBMPTN20210054,3311120411870003,212350240,Klarrisa Dauney,Laki-Laki,2002-05-14 00:00:00,KAB. MUARO JAMBI,Buddha,185-630-3625,kdauney9t@vk.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,MALUKU UTARA,KAB. HALMAHERA BARAT,IBU SELATAN,12345,SMAN 150,IPA,2020,SBMPTN,6,19,635,,2021-07-10 00:00:00
SBMPTN20210055,3311120411870003,212350241,Sioux Dan,Laki-Laki,2003-09-20 00:00:00,KAB. WAY KANAN,Kristen,335-774-3357,sdan9u@nih.gov,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA TIMUR,KAB. NGANJUK,GONDANG,12345,SMAN 86,IPA,2022,SBMPTN,29,2,552,29,2021-07-10 00:00:00
SBMPTN20210056,3311120411870003,212350242,Debor Exley,Laki-Laki,2002-03-19 00:00:00,KAB. JAYAPURA,Konghucu,202-991-3915,dexley9v@weibo.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,LOA JANAN,12345,SMAN 358,IPA,2020,SBMPTN,17,23,691,17,2021-07-10 00:00:00
SBMPTN20210057,3311120411870003,212350243,Aubrie Akitt,Laki-Laki,2002-02-20 00:00:00,KAB. GARUT,Kristen,602-962-4125,aakitt9w@digg.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,KALIMANTAN BARAT,KOTA PONTIANAK,PONTIANAK UTARA,12345,SMAN 124,IPS,2020,SBMPTN,8,18,658,8,2021-07-10 00:00:00
SBMPTN20210058,3311120411870003,212350244,Marcus Degenhardt,Perempuan,2003-03-05 00:00:00,KAB. MALUKU TENGAH,Katolik,784-942-7240,mdegenhardt9x@shop-pro.jp,https://google.com,Jalan Nasional Nomor 1,Indonesia,SULAWESI TENGGARA,KAB. BUTON TENGAH,MAWASANGKA TENGAH,12345,SMAN 468,IPS,2021,SBMPTN,13,10,481,13,2021-07-10 00:00:00
SBMPTN20210059,3311120411870003,212350245,Calla De la Zenne,Perempuan,2005-03-09 00:00:00,KOTA PALOPO,Konghucu,168-163-4360,cde9y@devhub.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,PAPUA BARAT,KAB. TAMBRAUW,BAMUSBAMA,12345,SMAN 499,IPS,2020,SBMPTN,22,25,512,22,2021-07-10 00:00:00
SBMPTN20210060,3311120411870003,212350246,Nobe Lording,Perempuan,2005-07-28 00:00:00,KAB. LANGKAT,Kristen,142-466-1983,nlording9z@sina.com.cn,https://google.com,Jalan Nasional Nomor 1,Indonesia,KALIMANTAN TIMUR,KAB. KUTAI KARTANEGARA,SEBULU,12345,SMAN 326,IPA,2022,SBMPTN,13,4,681,13,2021-07-10 00:00:00
SBMPTN20210061,3311120411870003,212350247,Aile Kaszper,Laki-Laki,2004-06-09 00:00:00,KAB. ACEH TIMUR,Konghucu,405-737-3736,akaszpera0@shop-pro.jp,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA BARAT,KAB. CIANJUR,GEKBRONG,12345,SMAN 266,IPA,2020,SBMPTN,25,24,760,25,2021-07-10 00:00:00
SBMPTN20210062,3311120411870003,212350248,Lishe Kenningley,Perempuan,2002-02-18 00:00:00,KOTA PARIAMAN,Islam,888-941-9288,lkenningleya1@kickstarter.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,BALI,KAB. BULELENG,BULELENG,12345,SMAN 449,IPA,2020,SBMPTN,28,24,479,28,2021-07-10 00:00:00
SBMPTN20210063,3311120411870003,212350249,Rockie Livoir,Laki-Laki,2002-02-02 00:00:00,KAB. SUPIORI,Buddha,326-669-9729,rlivoira2@theatlantic.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,ACEH,KAB. ACEH TENGAH,KUTE PANANG,12345,SMAN 146,IPA,2021,SBMPTN,24,6,671,24,2021-07-10 00:00:00
SBMPTN20210064,3311120411870003,212350250,Nataniel Disman,Laki-Laki,2005-04-27 00:00:00,KAB. MUARO JAMBI,Kristen,290-918-7056,ndismana3@sourceforge.net,https://google.com,Jalan Nasional Nomor 1,Indonesia,SUMATERA BARAT,KAB. PASAMAN BARAT,GUNUNGTULEH,12345,SMAN 474,IPA,2020,SBMPTN,4,4,718,4,2021-07-10 00:00:00
SBMPTN20210065,3311120411870003,212350251,Brendis Wavell,Laki-Laki,2002-08-18 00:00:00,KOTA TARAKAN,Katolik,617-614-8075,bwavella4@usa.gov,https://google.com,Jalan Nasional Nomor 1,Indonesia,SULAWESI UTARA,KAB. MINAHASA,TOMPASO,12345,SMAN 471,IPA,2022,SBMPTN,26,19,628,26,2021-07-10 00:00:00
SBMPTN20210066,3311120411870003,212350252,Saunders Neale,Laki-Laki,2002-08-26 00:00:00,KAB. TANA TORAJA,Hindu,696-796-5949,snealea5@bravesites.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,RIAU,KAB. INDRAGIRI HILIR,TEMBILAHAN HULU,12345,SMAN 130,IPA,2020,SBMPTN,3,31,675,,2021-07-10 00:00:00
SBMPTN20210067,3311120411870003,212350253,Christy Zimmermanns,Perempuan,2003-06-18 00:00:00,KAB. YAHUKIMO,Kristen,134-447-7905,czimmermannsa6@umich.edu,https://google.com,Jalan Nasional Nomor 1,Indonesia,MALUKU,KAB. BURU SELATAN,FENA FAFAN,12345,SMAN 243,IPS,2022,SBMPTN,29,9,774,,2021-07-10 00:00:00
SBMPTN20210068,3311120411870003,212350254,Lee Attack,Perempuan,2002-11-06 00:00:00,KAB. KENDAL,Buddha,840-515-2774,lattacka7@tripod.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,KALIMANTAN TENGAH,KAB. KAPUAS,PASAK TALAWANG,12345,SMAN 387,IPA,2021,SBMPTN,6,5,637,6,2021-07-10 00:00:00
SBMPTN20210069,3311120411870003,212350255,Doretta Ferreiro,Laki-Laki,2004-01-16 00:00:00,KOTA GUNUNGSITOLI,Konghucu,647-475-2973,dferreiroa8@chicagotribune.com,https://google.com,Jalan Nasional Nomor 1,Indonesia,KALIMANTAN TENGAH,KAB. GUNUNG MAS,RUNGAN HULU,12345,SMAN 380,IPA,2022,SBMPTN,9,10,478,9,2021-07-10 00:00:00
SBMPTN20210070,3311120411870003,212350256,Jeno Spinney,Laki-Laki,2003-04-19 00:00:00,KAB. TANJUNG JABUNG BARAT,Islam,401-808-3734,jspinneya9@apache.org,https://google.com,Jalan Nasional Nomor 1,Indonesia,JAWA TENGAH,KAB. PEKALONGAN,TIRTO,12345,SMAN 295,IPA,2021,SBMPTN,31,20,470,31,2021-07-10 00:00:00
SBMPTN20210071,3311120411870003,212350257,Annmaria Rawcliff,Perempuan,2003-09-28 00:00:00,KOTA PEKALONGAN,Katolik,117-211-1508,arawcliffaa@uol.com.br,https://google.com,Jalan Nasional Nomor 1,Indonesia,SULAWESI TENGAH,KAB. SIGI,DOLO BARAT,12345,SMAN 475,IPA,2022,SBMPTN,21,11,542,21,2021-07-10 00:00:00
