ID	Name	MajorID	AdmissionID	PartnerID	SchoolID	ModifiedDate
MANDIRI20210050	Conni McEnhill	26	4		389	2021-07-10
MANDIRI20210051	Jordanna Bebb	12	1	37	142	2021-07-10
MANDIRI20210052	Dyana Rosetti	14	2		76	2021-07-10
MANDIRI20210053	Rollins Birdsall	27	2		167	2021-07-10
MANDIRI20210054	Philippa Hendron	10	4		415	2021-07-10
MANDIRI20210055	Enoch Habron	18	4		238	2021-07-10
MANDIRI20210056	Benedicta Cummings	14	1	60	365	2021-07-10
MANDIRI20210057	Nahum Norton	12	2		269	2021-07-10
MANDIRI20210058	Crin Oxenham	27	2		302	2021-07-10
MANDIRI20210060	Caldwell Delacote	28	2		478	2021-07-10
MANDIRI20210062	Kristien Janssens	24	2		507	2021-07-10
MANDIRI20210063	Ross Licciardi	8	4		510	2021-07-10
MANDIRI20210064	Sandy Pelz	1	2		15	2021-07-10
MANDIRI20210065	Reid Mc Faul	25	3		166	2021-07-10
MANDIRI20210066	Curtis Herrero	6	2		217	2021-07-10
MANDIRI20210068	Guthry Draysey	9	1	37	295	2021-07-10
MANDIRI20210069	Brit Poundford	2	2		147	2021-07-10
MANDIRI20210070	Athena Skillern	6	2		275	2021-07-10
MANDIRI20210071	Lyle Jaulme	26	2		297	2021-07-10
MANDIRI20210072	Gladi Lardez	9	4		354	2021-07-10
MANDIRI20210073	Harp Erik	17	2		396	2021-07-10
MANDIRI20210074	Blane Chatwin	19	3		131	2021-07-10
MANDIRI20210075	Carleen O'Tierney	6	4		308	2021-07-10
MANDIRI20210076	Sarajane Boughey	17	4		83	2021-07-10
MANDIRI20210077	Mathian Aspin	5	4		90	2021-07-10
MANDIRI20210078	Luz Weakley	12	2		237	2021-07-10
MANDIRI20210079	Emile Creagh	7	2		7	2021-07-10
MANDIRI20210080	Courtney Tissington	1	2		61	2021-07-10
MANDIRI20210081	Aldis Charlo	4	3		161	2021-07-10
MANDIRI20210082	Adelle Redhouse	5	2		198	2021-07-10
MANDIRI20210084	Myer Garling	21	4		314	2021-07-10
MANDIRI20210085	Allister Quemby	30	1	17	425	2021-07-10
MANDIRI20210086	Mady Bing	2	1	16	324	2021-07-10
MANDIRI20210087	Forbes Mochar	12	2		309	2021-07-10
MANDIRI20210089	Humfrey Benner	3	1	30	352	2021-07-10
MANDIRI20210090	Mychal Conkay	30	4		472	2021-07-10
MANDIRI20210091	Kathie Tregian	6	4		506	2021-07-10
MANDIRI20210092	Earle Velareal	20	2		425	2021-07-10
MANDIRI20210095	Gratia Tooth	23	3		322	2021-07-10
MANDIRI20210096	Bertram Baddow	19	2		124	2021-07-10
MANDIRI20210097	Abram Causey	18	2		13	2021-07-10
MANDIRI20210098	Dita Litt	11	2		233	2021-07-10
MANDIRI20210100	Edmon De Dantesie	10	4		475	2021-07-10
MANDIRI20210101	Shelia Vequaud	20	2		208	2021-07-10
MANDIRI20210102	Read Kubik	29	4		177	2021-07-10
MANDIRI20210103	Robert Topaz	4	2		143	2021-07-10
MANDIRI20210104	Sharl Matyushkin	2	1	43	264	2021-07-10
MANDIRI20210105	Ermina Ramard	17	2		359	2021-07-10
MANDIRI20210106	Ermengarde Sexton	2	2		408	2021-07-10
MANDIRI20210107	Elbert Stilgoe	16	1	34	205	2021-07-10
MANDIRI20210108	Nevsa Kryska	2	4		366	2021-07-10
MANDIRI20210109	Jacquie Ashelford	4	2		285	2021-07-10
MANDIRI20210110	Nissy Vila	19	2		456	2021-07-10
MANDIRI20210111	Collete Northway	21	3		512	2021-07-10
MANDIRI20210112	Beitris MacDermott	6	1	26	137	2021-07-10
MANDIRI20210113	Augustin Fero	8	2		311	2021-07-10
MANDIRI20210114	Gerrilee Corradetti	25	2		399	2021-07-10
MANDIRI20210115	Susanne Flowerdew	23	2		278	2021-07-10
MANDIRI20210116	Des Peach	32	2		405	2021-07-10
MANDIRI20210118	Dietrich Tissiman	14	4		335	2021-07-10
MANDIRI20210119	Eadie Stowe	8	2		259	2021-07-10
MANDIRI20210120	Cornela Wansbury	4	2		41	2021-07-10
MANDIRI20210121	Torry Puddan	2	2		23	2021-07-10
MANDIRI20210122	Dasha Maunder	2	2		273	2021-07-10
MANDIRI20210123	Maritsa McInerney	21	3		53	2021-07-10
MANDIRI20210124	Levi Cosson	23	2		490	2021-07-10
MANDIRI20210125	Wolf Amori	18	4		211	2021-07-10
MANDIRI20210126	Davey Gaythwaite	7	2		189	2021-07-10
MANDIRI20210127	Jerrine Stanner	23	3		500	2021-07-10
MANDIRI20210128	Casandra Charlwood	20	2		478	2021-07-10
MANDIRI20210129	Bronny Kaubisch	25	2		226	2021-07-10
MANDIRI20210130	Danita Baus	8	4		395	2021-07-10
MANDIRI20210131	Stavros Goodspeed	10	2		365	2021-07-10
MANDIRI20210132	Gale Corn	8	4		389	2021-07-10
MANDIRI20210133	Giles Davioud	30	3		273	2021-07-10
MANDIRI20210134	Alexi Sharnock	5	2		118	2021-07-10
MANDIRI20210135	Celle Balasin	32	3		54	2021-07-10
MANDIRI20210136	Garry McGeachie	32	2		229	2021-07-10
MANDIRI20210137	Heidi Dossit	3	2		224	2021-07-10
MANDIRI20210138	Elspeth Andrini	24	3		472	2021-07-10
MANDIRI20210140	Shaun Naughton	15	2		207	2021-07-10
MANDIRI20210141	Dniren Cadden	29	2		108	2021-07-10
MANDIRI20210142	Sammy Sandwith	6	2		464	2021-07-10
MANDIRI20210143	Stewart Baldcock	7	4		45	2021-07-10
MANDIRI20210144	Melinda Westwood	12	2		142	2021-07-10
MANDIRI20210145	L;urette Commings	30	1	27	117	2021-07-10
MANDIRI20210146	Lorri Valdes	2	2		106	2021-07-10
MANDIRI20210147	Olenolin Scrimgeour	12	2		228	2021-07-10
MANDIRI20210148	Starlene Wilderspoon	11	2		175	2021-07-10
MANDIRI20210149	Sonni Haysey	22	4		39	2021-07-10
MANDIRI20210150	Shandy Vivyan	7	4		128	2021-07-10
MANDIRI20210151	Aimil Winchester	32	2		346	2021-07-10
MANDIRI20210152	Henri Robertis	17	4		303	2021-07-10
MANDIRI20210153	Boy O'Crigane	6	4		63	2021-07-10
MANDIRI20210154	Nedda Leahey	8	1	33	2	2021-07-10
MANDIRI20210155	Bonita Napoleon	12	2		469	2021-07-10
MANDIRI20210156	Penelopa Jorry	1	3		120	2021-07-10
MANDIRI20210157	Arlana Shearmur	26	2		424	2021-07-10
MANDIRI20210158	Heda Gowdy	27	4		359	2021-07-10
MANDIRI20210159	Damiano Cartwright	18	2		450	2021-07-10
MANDIRI20210160	Camile Mitchard	12	2		498	2021-07-10
MANDIRI20210162	Derrik Guite	12	3		6	2021-07-10
MANDIRI20210163	Ellwood Longforth	27	2		90	2021-07-10
MANDIRI20210164	Flss Nichols	31	3		89	2021-07-10
MANDIRI20210165	Giusto McCrudden	24	2		323	2021-07-10
MANDIRI20210166	Wanda Tite	15	2		238	2021-07-10
MANDIRI20210167	Cecilio Halbard	17	3		2	2021-07-10
MANDIRI20210168	Babette Jurasek	18	2		121	2021-07-10
MANDIRI20210170	Joachim Barthelet	8	1	22	78	2021-07-10
MANDIRI20210172	Dre Tollett	32	4		148	2021-07-10
MANDIRI20210173	Geralda Treace	29	2		446	2021-07-10
MANDIRI20210174	Domingo Titterington	6	2		53	2021-07-10
MANDIRI20210175	Gerry Theaker	27	3		22	2021-07-10
MANDIRI20210176	Madella Chatell	8	2		490	2021-07-10
MANDIRI20210177	Lou Parfitt	30	2		150	2021-07-10
MANDIRI20210178	Fredelia Orchart	3	1	48	102	2021-07-10
MANDIRI20210179	Catina Alder	15	2		156	2021-07-10
MANDIRI20210180	L;urette Goldman	1	4		80	2021-07-10
MANDIRI20210181	Pierre Haywood	5	2		349	2021-07-10
MANDIRI20210182	Findlay Jobes	17	1	42	43	2021-07-10
MANDIRI20210183	Georgine Revell	27	2		312	2021-07-10
MANDIRI20210185	Reuven Brisseau	3	4		125	2021-07-10
MANDIRI20210186	Dunstan Crewe	4	1	64	268	2021-07-10
MANDIRI20210187	Quinn Huitson	27	4		120	2021-07-10
MANDIRI20210188	Sebastian Abella	6	1	43	333	2021-07-10
MANDIRI20210189	Carlyn Sciusscietto	20	3		464	2021-07-10
MANDIRI20210190	Tomi Yakubowicz	13	2		172	2021-07-10
MANDIRI20210191	Joe Mingaud	24	2		488	2021-07-10
MANDIRI20210193	Flore Brasher	1	2		511	2021-07-10
MANDIRI20210194	Christy Tye	22	2		259	2021-07-10
MANDIRI20210195	Hubert Longhorn	28	2		25	2021-07-10
MANDIRI20210196	Essa Donisi	2	2		52	2021-07-10
MANDIRI20210198	Regen Borkin	8	2		504	2021-07-10
MANDIRI20210199	Miguelita Beckers	12	3		408	2021-07-10
MANDIRI20210200	Babbette Jakubowsky	4	4		266	2021-07-10
MANDIRI20210201	Moss Boundley	8	2		511	2021-07-10
MANDIRI20210202	Frank Sloat	21	2		239	2021-07-10
MANDIRI20210203	Veriee Hazell	27	1	40	130	2021-07-10
MANDIRI20210204	Gabie Everson	26	2		498	2021-07-10
MANDIRI20210205	Devan Embra	20	3		95	2021-07-10
MANDIRI20210206	Carlotta Garford	19	4		382	2021-07-10
MANDIRI20210207	Joaquin Ridhole	7	2		479	2021-07-10
MANDIRI20210208	Mara Bloxham	18	2		287	2021-07-10
MANDIRI20210209	Bud Elderidge	2	3		318	2021-07-10
MANDIRI20210210	Wileen Glavis	31	1	68	96	2021-07-10
MANDIRI20210211	Johannah Bosward	28	1	6	377	2021-07-10
MANDIRI20210213	Crissie Whieldon	19	2		420	2021-07-10
MANDIRI20210214	Heda McLean	24	4		339	2021-07-10
MANDIRI20210215	Francklin Rosenbarg	24	2		446	2021-07-10
MANDIRI20210217	Hermann Korneichik	3	2		293	2021-07-10
MANDIRI20210219	Kirby Best	20	3		206	2021-07-10
MANDIRI20210220	Roddie Garrand	28	2		14	2021-07-10
MANDIRI20210221	Tammie Humbert	24	4		217	2021-07-10
MANDIRI20210222	Aleta Swanger	26	4		77	2021-07-10
MANDIRI20210223	Harriet Sonley	19	2		496	2021-07-10
MANDIRI20210224	Jobina Dudleston	12	2		305	2021-07-10
MANDIRI20210225	Shelton Heintzsch	30	1	33	136	2021-07-10
MANDIRI20210226	Hyacinthe Murkus	2	2		267	2021-07-10
MANDIRI20210227	Jdavie Greve	12	3		21	2021-07-10
MANDIRI20210228	Ivor Marikhin	7	2		464	2021-07-10
MANDIRI20210229	Roana Thumann	11	1	11	277	2021-07-10
MANDIRI20210230	Fritz Cavey	15	4		289	2021-07-10
MANDIRI20210231	Salvador Lighton	16	3		446	2021-07-10
MANDIRI20210232	Ilka Eckley	27	1	16	423	2021-07-10
MANDIRI20210233	Garik Nussen	17	2		364	2021-07-10
MANDIRI20210235	Julienne Lodewick	11	2		399	2021-07-10
MANDIRI20210237	Rozamond Thomerson	29	2		25	2021-07-10
MANDIRI20210238	Gaylord Pumphreys	7	4		371	2021-07-10
MANDIRI20210239	Batsheva Mil	20	2		73	2021-07-10
MANDIRI20210240	Harmonie Ferreiro	28	2		326	2021-07-10
MANDIRI20210241	Rog Roubeix	1	4		360	2021-07-10
MANDIRI20210242	Esma Ainsley	18	1	14	221	2021-07-10
MANDIRI20210243	Charyl Willingham	5	2		373	2021-07-10
MANDIRI20210244	Harland Kwiek	28	2		258	2021-07-10
MANDIRI20210245	Rebbecca Durbin	19	2		104	2021-07-10
MANDIRI20210248	Spenser Dewicke	15	1	35	273	2021-07-10
MANDIRI20210249	Clayson Melson	20	4		193	2021-07-10
MANDIRI20210250	Xenia Guidini	7	2		304	2021-07-10
MANDIRI20210251	Ferd Mulhill	20	2		377	2021-07-10
MANDIRI20210252	Scott Domange	13	1	50	54	2021-07-10
MANDIRI20210253	Amberly Pipet	12	1	69	270	2021-07-10
MANDIRI20210254	Galvan McHarry	14	1	23	460	2021-07-10
MANDIRI20210255	Henderson Bertenshaw	15	3		254	2021-07-10
MANDIRI20210256	Erma Oiseau	15	3		407	2021-07-10
MANDIRI20210257	Carroll McFeat	30	4		224	2021-07-10
MANDIRI20210258	Giovanna Houldcroft	12	2		430	2021-07-10
MANDIRI20210259	Timmy Sinncock	16	4		146	2021-07-10
MANDIRI20210260	Lela Stocken	11	3		125	2021-07-10
MANDIRI20210261	Winny Culbard	24	2		251	2021-07-10
MANDIRI20210262	Sumner Carslaw	4	2		144	2021-07-10
MANDIRI20210263	Rois Marmon	4	1	17	76	2021-07-10
MANDIRI20210264	Lana Hundy	8	4		437	2021-07-10
MANDIRI20210265	Beverley Taylerson	22	4		295	2021-07-10
MANDIRI20210266	Marlow Cinderey	26	4		121	2021-07-10
MANDIRI20210267	Clayborn Enevold	2	2		495	2021-07-10
MANDIRI20210268	Arlina Gasker	14	4		342	2021-07-10
MANDIRI20210269	Mortie Rouby	24	2		77	2021-07-10
MANDIRI20210270	Courtnay Redparth	5	2		440	2021-07-10
MANDIRI20210271	Marjie Okker	28	2		331	2021-07-10
MANDIRI20210275	Lynne Edinburough	14	2		37	2021-07-10
MANDIRI20210278	Mavis Kwietak	5	2		225	2021-07-10
MANDIRI20210279	Durand Jeffry	30	4		98	2021-07-10
MANDIRI20210280	Earvin Craister	14	3		72	2021-07-10
MANDIRI20210281	Rivkah Inkin	12	3		297	2021-07-10
MANDIRI20210282	Patrick Drayton	28	2		40	2021-07-10
MANDIRI20210283	Shir Kee	30	2		145	2021-07-10
MANDIRI20210284	Ortensia Lanigan	7	4		424	2021-07-10
MANDIRI20210285	Demeter Yakobovitz	5	2		463	2021-07-10
MANDIRI20210286	Silvie Novis	31	2		37	2021-07-10
MANDIRI20210288	Christean Gribbin	2	2		376	2021-07-10
MANDIRI20210289	Cecile Gerin	11	2		225	2021-07-10
MANDIRI20210290	Evangelin Stelfax	20	4		260	2021-07-10
MANDIRI20210291	Kaila Episcopi	16	2		203	2021-07-10
MANDIRI20210292	Dillon Pedrick	12	4		103	2021-07-10
MANDIRI20210293	Gerty Avraam	2	2		215	2021-07-10
MANDIRI20210294	Ramonda Cumberledge	25	2		97	2021-07-10
MANDIRI20210296	Hashim Arendt	27	2		508	2021-07-10
MANDIRI20210298	Alyse Cowdry	2	3		496	2021-07-10
MANDIRI20210299	Westbrooke Siene	14	3		326	2021-07-10
MANDIRI20210300	Raphaela Dewett	17	2		361	2021-07-10
MANDIRI20210301	Bernhard Ranyelld	16	1	20	402	2021-07-10
MANDIRI20210304	James Mangenet	1	2		293	2021-07-10
MANDIRI20210306	Tymothy Cuniffe	15	4		7	2021-07-10
MANDIRI20210307	Terry Berndtssen	20	4		18	2021-07-10
MANDIRI20210308	Toni Petruska	2	2		247	2021-07-10
MANDIRI20210309	Christoforo Roft	32	4		423	2021-07-10
MANDIRI20210310	Iago Sivil	5	2		250	2021-07-10
MANDIRI20210311	Kyle Pladen	27	3		467	2021-07-10
MANDIRI20210312	Jere Boggis	22	4		460	2021-07-10
MANDIRI20210314	Constancia Harvey	5	2		350	2021-07-10
MANDIRI20210315	Danika Lock	19	2		410	2021-07-10
MANDIRI20210317	Glynn Rosenwasser	30	2		109	2021-07-10
MANDIRI20210318	Julee Pettyfar	13	2		38	2021-07-10
MANDIRI20210319	Aluino Grimsell	22	4		476	2021-07-10
MANDIRI20210320	Sanford Treby	7	2		332	2021-07-10
MANDIRI20210321	Kaja Howling	18	2		134	2021-07-10
MANDIRI20210322	Dun Shitliff	29	2		464	2021-07-10
MANDIRI20210323	Claribel Bodocs	10	3		389	2021-07-10
MANDIRI20210324	Cecilla Langcaster	1	2		325	2021-07-10
MANDIRI20210325	Leonore Wheelband	16	2		379	2021-07-10
MANDIRI20210326	Reamonn Menere	16	2		138	2021-07-10
MANDIRI20210327	Joshia Speddin	24	2		45	2021-07-10
MANDIRI20210328	Starlene Henworth	3	3		44	2021-07-10
MANDIRI20210329	Erhart Hardage	30	2		428	2021-07-10
MANDIRI20210330	Johan Corris	10	4		393	2021-07-10
MANDIRI20210331	Winthrop Kleeborn	5	2		146	2021-07-10
MANDIRI20210332	Andreas Askam	7	4		354	2021-07-10
MANDIRI20210333	Richard Raise	4	4		466	2021-07-10
MANDIRI20210334	Stinky Durram	4	2		343	2021-07-10
MANDIRI20210335	Bebe Dell 'Orto	4	2		342	2021-07-10
MANDIRI20210336	Robinia Croydon	9	2		486	2021-07-10
MANDIRI20210337	Clea Blackmoor	22	4		444	2021-07-10
MANDIRI20210339	Tallou Beevis	16	1	51	132	2021-07-10
MANDIRI20210340	Haley Choake	13	2		221	2021-07-10
MANDIRI20210341	Nadean Shaxby	23	2		190	2021-07-10
MANDIRI20210342	Arabel L'Archer	32	4		438	2021-07-10
MANDIRI20210343	Riley Antoshin	3	3		88	2021-07-10
MANDIRI20210344	Crissy Lambourne	11	2		477	2021-07-10
MANDIRI20210345	Silvanus Wilfing	8	3		490	2021-07-10
MANDIRI20210347	Anatola Sehorsch	21	2		498	2021-07-10
MANDIRI20210349	Kaylyn Linklet	6	4		408	2021-07-10
MANDIRI20210350	Lea FitzGibbon	21	2		284	2021-07-10
MANDIRI20210351	Benjie Crossingham	31	2		96	2021-07-10
MANDIRI20210352	Derick Zannotelli	24	2		34	2021-07-10
MANDIRI20210353	Eva Cocke	10	4		150	2021-07-10
MANDIRI20210354	Michele Ruler	17	2		1	2021-07-10
MANDIRI20210355	Curt Pheazey	20	2		36	2021-07-10
MANDIRI20210356	Fiorenze Murrish	6	2		408	2021-07-10
MANDIRI20210357	Sunshine Artois	26	2		68	2021-07-10
MANDIRI20210358	Remington Robertelli	3	1	62	320	2021-07-10
MANDIRI20210361	Corissa Wynrehame	17	3		314	2021-07-10
MANDIRI20210362	Christos Lottrington	17	2		145	2021-07-10
MANDIRI20210363	Jori Flageul	15	2		471	2021-07-10
MANDIRI20210364	Christabella Bleesing	25	2		182	2021-07-10
MANDIRI20210367	Florenza Scholes	13	4		469	2021-07-10
MANDIRI20210368	Herc Thornewell	18	2		128	2021-07-10
MANDIRI20210369	Rory Timperley	29	2		128	2021-07-10
MANDIRI20210370	Keelia Lounds	11	2		408	2021-07-10
MANDIRI20210371	Winona Hawarden	13	2		483	2021-07-10
MANDIRI20210372	Joseito Andrault	8	2		413	2021-07-10
MANDIRI20210373	Aurelia Tacon	13	2		403	2021-07-10
MANDIRI20210374	Shawna Gajownik	18	2		274	2021-07-10
MANDIRI20210375	Gordy Badcock	1	2		394	2021-07-10
MANDIRI20210377	Ardis Dominka	24	1	41	216	2021-07-10
MANDIRI20210378	Teador Kobera	10	2		410	2021-07-10
MANDIRI20210379	Loleta Stiles	18	4		465	2021-07-10
MANDIRI20210381	Udell Antonacci	28	4		295	2021-07-10
MANDIRI20210382	Francine Fortye	17	2		31	2021-07-10
MANDIRI20210384	Orren Eyres	2	4		140	2021-07-10
MANDIRI20210385	Paulette Bernaldez	20	2		470	2021-07-10
MANDIRI20210386	Vitia McClements	15	4		474	2021-07-10
MANDIRI20210387	Sauveur Fishburn	22	2		73	2021-07-10
MANDIRI20210388	Arlene Delbergue	14	2		98	2021-07-10
MANDIRI20210389	Torey Clemetts	8	1	12	421	2021-07-10
MANDIRI20210390	Ware Frisby	25	2		466	2021-07-10
MANDIRI20210391	Hewe Dongate	11	3		186	2021-07-10
MANDIRI20210392	Bellina Dudbridge	25	4		115	2021-07-10
MANDIRI20210393	Jane Gravie	12	4		445	2021-07-10
MANDIRI20210394	Rochester Girling	2	2		486	2021-07-10
MANDIRI20210395	Bryon Goozee	23	2		87	2021-07-10
MANDIRI20210396	Pieter Snarr	28	2		150	2021-07-10
MANDIRI20210397	Emmaline Stuck	19	2		464	2021-07-10
MANDIRI20210398	Edgardo Harriskine	10	2		159	2021-07-10
MANDIRI20210399	Lynette McCaw	15	2		95	2021-07-10
MANDIRI20210401	Shelby Swanborrow	16	4		162	2021-07-10
MANDIRI20210402	Ediva Kidman	4	2		77	2021-07-10
MANDIRI20210403	Russell Overstall	2	4		134	2021-07-10
MANDIRI20210404	Rey Bowery	4	3		427	2021-07-10
MANDIRI20210405	Alecia Macauley	28	2		334	2021-07-10
MANDIRI20210406	Natty Banasik	18	2		13	2021-07-10
MANDIRI20210407	Nelly Little	7	4		135	2021-07-10
MANDIRI20210408	Cob Dunnico	13	3		158	2021-07-10
MANDIRI20210409	Jobye Heigl	31	2		345	2021-07-10
MANDIRI20210410	Margret Noir	16	2		292	2021-07-10
MANDIRI20210411	Sax Levens	5	1	35	441	2021-07-10
MANDIRI20210412	Bette-ann Rodenburg	14	2		71	2021-07-10
MANDIRI20210413	Montgomery Vardey	6	2		136	2021-07-10
MANDIRI20210414	Torr Joderli	5	2		474	2021-07-10
MANDIRI20210415	Hurlee Barsham	1	4		181	2021-07-10
MANDIRI20210417	Jenine Docket	6	3		175	2021-07-10
MANDIRI20210418	Linnet Bentinck	10	2		363	2021-07-10
MANDIRI20210419	Blinny Yeliashev	11	1	8	479	2021-07-10
MANDIRI20210420	Calida Sword	30	2		365	2021-07-10
MANDIRI20210421	Maggee Hackworth	18	4		20	2021-07-10
MANDIRI20210422	Arabelle Couvet	21	2		18	2021-07-10
MANDIRI20210423	Andee Zavattari	28	3		468	2021-07-10
MANDIRI20210424	Johnny Goldsby	16	4		358	2021-07-10
MANDIRI20210425	Constancia Elce	1	2		40	2021-07-10
MANDIRI20210426	Granger Skellion	12	3		289	2021-07-10
MANDIRI20210427	Will Priddie	20	2		342	2021-07-10
MANDIRI20210428	Orlando Bartlomiej	17	1	46	451	2021-07-10
MANDIRI20210429	Eleanore MacDiarmond	26	1	68	31	2021-07-10
MANDIRI20210430	Sheryl Stendall	11	4		303	2021-07-10
MANDIRI20210431	Randolph Hainsworth	21	4		35	2021-07-10
MANDIRI20210432	Noellyn Arbor	32	1	34	30	2021-07-10
MANDIRI20210433	Peter Haslehurst	32	2		459	2021-07-10
MANDIRI20210435	Stephanie Skally	26	2		19	2021-07-10
MANDIRI20210436	Isadore Sharrocks	23	4		459	2021-07-10
MANDIRI20210437	Scarface O'Hartagan	29	2		155	2021-07-10
MANDIRI20210438	Riccardo Shawe	16	2		331	2021-07-10
MANDIRI20210439	Si Casiroli	6	2		418	2021-07-10
MANDIRI20210440	Niles Henrie	12	4		410	2021-07-10
MANDIRI20210441	Marv Aucott	11	4		260	2021-07-10
MANDIRI20210443	Elfrieda Orto	20	2		111	2021-07-10
MANDIRI20210444	Pavel Tume	24	3		44	2021-07-10
MANDIRI20210445	Nicolas Crannis	12	2		410	2021-07-10
MANDIRI20210446	Didi Caspell	30	2		190	2021-07-10
MANDIRI20210448	Remy MacFarlane	5	4		227	2021-07-10
MANDIRI20210449	Arlinda Jarred	26	2		361	2021-07-10
MANDIRI20210450	Amalea Simister	13	2		183	2021-07-10
MANDIRI20210451	Selie Reinmar	11	2		437	2021-07-10
MANDIRI20210452	Hunfredo Amort	21	2		498	2021-07-10
MANDIRI20210453	Clare Ledstone	4	2		412	2021-07-10
MANDIRI20210454	Alfred Greneham	32	1	67	60	2021-07-10
MANDIRI20210455	Galvin Cicchelli	5	2		487	2021-07-10
MANDIRI20210456	Demetria Teek	25	2		144	2021-07-10
MANDIRI20210457	Ginger Folliss	12	2		60	2021-07-10
MANDIRI20210459	Enrichetta Deamer	16	2		316	2021-07-10
MANDIRI20210460	Jeanette Gurrado	6	2		227	2021-07-10
MANDIRI20210461	Rey Meece	4	3		75	2021-07-10
MANDIRI20210462	Emmit Densham	5	3		399	2021-07-10
MANDIRI20210463	Angelika McMurthy	23	1	42	284	2021-07-10
MANDIRI20210464	Meagan Bridywater	20	2		99	2021-07-10
MANDIRI20210465	Johny Sevitt	13	3		131	2021-07-10
MANDIRI20210466	Wallas Tague	10	2		19	2021-07-10
MANDIRI20210467	Olivero Swalough	27	3		334	2021-07-10
MANDIRI20210468	Mickie Terran	26	2		257	2021-07-10
MANDIRI20210469	Odetta Minney	5	1	38	93	2021-07-10
MANDIRI20210470	Margarette Bruce	31	4		45	2021-07-10
MANDIRI20210471	Mortimer Payn	19	2		129	2021-07-10
MANDIRI20210472	Debor Tortoishell	9	2		204	2021-07-10
MANDIRI20210473	Delainey Tomkowicz	19	3		400	2021-07-10
MANDIRI20210474	Willow Vannoni	23	3		298	2021-07-10
MANDIRI20210475	Kissiah Bogeys	8	2		375	2021-07-10
MANDIRI20210476	Reginauld Gallyhaock	27	2		40	2021-07-10
MANDIRI20210477	Ermengarde St Ange	17	4		3	2021-07-10
MANDIRI20210478	Britt Wykey	4	2		471	2021-07-10
MANDIRI20210479	Fields Frome	16	3		120	2021-07-10
MANDIRI20210480	Antonie Skudder	20	2		184	2021-07-10
MANDIRI20210481	Devondra Newsham	25	2		205	2021-07-10
MANDIRI20210482	Justine Sarrell	3	4		66	2021-07-10
MANDIRI20210483	Ulrike Alenikov	2	3		149	2021-07-10
MANDIRI20210484	Arlin Thebes	19	2		481	2021-07-10
MANDIRI20210485	Imojean Matten	30	3		458	2021-07-10
MANDIRI20210486	Nelly Izod	18	2		333	2021-07-10
MANDIRI20210487	Lorne Quilty	11	2		353	2021-07-10
